edge_key,from_node_key,to_node_key,distance_score,danger_level,road_type,bidirectional,requires_flag,notes,source_key
auto_0001_borderwatch_outpost_to_auto_borderwatch_to_melve_001,borderwatch_outpost,auto_borderwatch_to_melve_001,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0002_auto_borderwatch_to_melve_001_to_auto_borderwatch_to_melve_002,auto_borderwatch_to_melve_001,auto_borderwatch_to_melve_002,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0003_auto_borderwatch_to_melve_002_to_auto_borderwatch_to_melve_003,auto_borderwatch_to_melve_002,auto_borderwatch_to_melve_003,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0004_auto_borderwatch_to_melve_003_to_auto_borderwatch_to_melve_004,auto_borderwatch_to_melve_003,auto_borderwatch_to_melve_004,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0005_auto_borderwatch_to_melve_004_to_auto_borderwatch_to_melve_005,auto_borderwatch_to_melve_004,auto_borderwatch_to_melve_005,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0006_auto_borderwatch_to_melve_005_to_auto_borderwatch_to_melve_006,auto_borderwatch_to_melve_005,auto_borderwatch_to_melve_006,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0007_auto_borderwatch_to_melve_006_to_auto_borderwatch_to_melve_007,auto_borderwatch_to_melve_006,auto_borderwatch_to_melve_007,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0008_auto_borderwatch_to_melve_007_to_auto_borderwatch_to_melve_008,auto_borderwatch_to_melve_007,auto_borderwatch_to_melve_008,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0009_auto_borderwatch_to_melve_008_to_auto_borderwatch_to_melve_009,auto_borderwatch_to_melve_008,auto_borderwatch_to_melve_009,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0010_auto_borderwatch_to_melve_009_to_auto_borderwatch_to_melve_010,auto_borderwatch_to_melve_009,auto_borderwatch_to_melve_010,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0011_auto_borderwatch_to_melve_010_to_auto_borderwatch_to_melve_011,auto_borderwatch_to_melve_010,auto_borderwatch_to_melve_011,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0012_auto_borderwatch_to_melve_011_to_melve,auto_borderwatch_to_melve_011,melve,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0013_melve_to_auto_melve_to_vernworth_001,melve,auto_melve_to_vernworth_001,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0014_auto_melve_to_vernworth_001_to_auto_melve_to_vernworth_002,auto_melve_to_vernworth_001,auto_melve_to_vernworth_002,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0015_auto_melve_to_vernworth_002_to_auto_melve_to_vernworth_003,auto_melve_to_vernworth_002,auto_melve_to_vernworth_003,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0016_auto_melve_to_vernworth_003_to_auto_melve_to_vernworth_004,auto_melve_to_vernworth_003,auto_melve_to_vernworth_004,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0017_auto_melve_to_vernworth_004_to_auto_melve_to_vernworth_005,auto_melve_to_vernworth_004,auto_melve_to_vernworth_005,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0018_auto_melve_to_vernworth_005_to_auto_melve_to_vernworth_006,auto_melve_to_vernworth_005,auto_melve_to_vernworth_006,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0019_auto_melve_to_vernworth_006_to_auto_melve_to_vernworth_007,auto_melve_to_vernworth_006,auto_melve_to_vernworth_007,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0020_auto_melve_to_vernworth_007_to_auto_melve_to_vernworth_008,auto_melve_to_vernworth_007,auto_melve_to_vernworth_008,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0021_auto_melve_to_vernworth_008_to_auto_melve_to_vernworth_009,auto_melve_to_vernworth_008,auto_melve_to_vernworth_009,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0022_auto_melve_to_vernworth_009_to_auto_melve_to_vernworth_010,auto_melve_to_vernworth_009,auto_melve_to_vernworth_010,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0023_auto_melve_to_vernworth_010_to_auto_melve_to_vernworth_011,auto_melve_to_vernworth_010,auto_melve_to_vernworth_011,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0024_auto_melve_to_vernworth_011_to_auto_melve_to_vernworth_012,auto_melve_to_vernworth_011,auto_melve_to_vernworth_012,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0025_auto_melve_to_vernworth_012_to_auto_melve_to_vernworth_013,auto_melve_to_vernworth_012,auto_melve_to_vernworth_013,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0026_auto_melve_to_vernworth_013_to_auto_melve_to_vernworth_014,auto_melve_to_vernworth_013,auto_melve_to_vernworth_014,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0027_auto_melve_to_vernworth_014_to_auto_melve_to_vernworth_015,auto_melve_to_vernworth_014,auto_melve_to_vernworth_015,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0028_auto_melve_to_vernworth_015_to_auto_melve_to_vernworth_016,auto_melve_to_vernworth_015,auto_melve_to_vernworth_016,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0029_auto_melve_to_vernworth_016_to_auto_melve_to_vernworth_017,auto_melve_to_vernworth_016,auto_melve_to_vernworth_017,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0030_auto_melve_to_vernworth_017_to_auto_melve_to_vernworth_018,auto_melve_to_vernworth_017,auto_melve_to_vernworth_018,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0031_auto_melve_to_vernworth_018_to_auto_melve_to_vernworth_019,auto_melve_to_vernworth_018,auto_melve_to_vernworth_019,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0032_auto_melve_to_vernworth_019_to_auto_melve_to_vernworth_020,auto_melve_to_vernworth_019,auto_melve_to_vernworth_020,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0033_auto_melve_to_vernworth_020_to_auto_melve_to_vernworth_021,auto_melve_to_vernworth_020,auto_melve_to_vernworth_021,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0034_auto_melve_to_vernworth_021_to_auto_melve_to_vernworth_022,auto_melve_to_vernworth_021,auto_melve_to_vernworth_022,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0035_auto_melve_to_vernworth_022_to_auto_melve_to_vernworth_023,auto_melve_to_vernworth_022,auto_melve_to_vernworth_023,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0036_auto_melve_to_vernworth_023_to_auto_melve_to_vernworth_024,auto_melve_to_vernworth_023,auto_melve_to_vernworth_024,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0037_auto_melve_to_vernworth_024_to_auto_melve_to_vernworth_025,auto_melve_to_vernworth_024,auto_melve_to_vernworth_025,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0038_auto_melve_to_vernworth_025_to_auto_melve_to_vernworth_026,auto_melve_to_vernworth_025,auto_melve_to_vernworth_026,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0039_auto_melve_to_vernworth_026_to_auto_melve_to_vernworth_027,auto_melve_to_vernworth_026,auto_melve_to_vernworth_027,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0040_auto_melve_to_vernworth_027_to_auto_melve_to_vernworth_028,auto_melve_to_vernworth_027,auto_melve_to_vernworth_028,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0041_auto_melve_to_vernworth_028_to_auto_melve_to_vernworth_029,auto_melve_to_vernworth_028,auto_melve_to_vernworth_029,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0042_auto_melve_to_vernworth_029_to_auto_melve_to_vernworth_030,auto_melve_to_vernworth_029,auto_melve_to_vernworth_030,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0043_auto_melve_to_vernworth_030_to_auto_melve_to_vernworth_031,auto_melve_to_vernworth_030,auto_melve_to_vernworth_031,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0044_auto_melve_to_vernworth_031_to_auto_melve_to_vernworth_032,auto_melve_to_vernworth_031,auto_melve_to_vernworth_032,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0045_auto_melve_to_vernworth_032_to_auto_melve_to_vernworth_033,auto_melve_to_vernworth_032,auto_melve_to_vernworth_033,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0046_auto_melve_to_vernworth_033_to_auto_melve_to_vernworth_034,auto_melve_to_vernworth_033,auto_melve_to_vernworth_034,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0047_auto_melve_to_vernworth_034_to_auto_melve_to_vernworth_035,auto_melve_to_vernworth_034,auto_melve_to_vernworth_035,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0048_auto_melve_to_vernworth_035_to_auto_melve_to_vernworth_036,auto_melve_to_vernworth_035,auto_melve_to_vernworth_036,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0049_auto_melve_to_vernworth_036_to_auto_melve_to_vernworth_037,auto_melve_to_vernworth_036,auto_melve_to_vernworth_037,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0050_auto_melve_to_vernworth_037_to_auto_melve_to_vernworth_038,auto_melve_to_vernworth_037,auto_melve_to_vernworth_038,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0051_auto_melve_to_vernworth_038_to_auto_melve_to_vernworth_039,auto_melve_to_vernworth_038,auto_melve_to_vernworth_039,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0052_auto_melve_to_vernworth_039_to_auto_melve_to_vernworth_040,auto_melve_to_vernworth_039,auto_melve_to_vernworth_040,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0053_auto_melve_to_vernworth_040_to_vernworth,auto_melve_to_vernworth_040,vernworth,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0054_vernworth_to_auto_vernworth_to_trevo_mine_001,vernworth,auto_vernworth_to_trevo_mine_001,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0055_auto_vernworth_to_trevo_mine_001_to_auto_vernworth_to_trevo_mine_002,auto_vernworth_to_trevo_mine_001,auto_vernworth_to_trevo_mine_002,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0056_auto_vernworth_to_trevo_mine_002_to_auto_vernworth_to_trevo_mine_003,auto_vernworth_to_trevo_mine_002,auto_vernworth_to_trevo_mine_003,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0057_auto_vernworth_to_trevo_mine_003_to_auto_vernworth_to_trevo_mine_004,auto_vernworth_to_trevo_mine_003,auto_vernworth_to_trevo_mine_004,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0058_auto_vernworth_to_trevo_mine_004_to_auto_vernworth_to_trevo_mine_005,auto_vernworth_to_trevo_mine_004,auto_vernworth_to_trevo_mine_005,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0059_auto_vernworth_to_trevo_mine_005_to_auto_vernworth_to_trevo_mine_006,auto_vernworth_to_trevo_mine_005,auto_vernworth_to_trevo_mine_006,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0060_auto_vernworth_to_trevo_mine_006_to_auto_vernworth_to_trevo_mine_007,auto_vernworth_to_trevo_mine_006,auto_vernworth_to_trevo_mine_007,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0061_auto_vernworth_to_trevo_mine_007_to_auto_vernworth_to_trevo_mine_008,auto_vernworth_to_trevo_mine_007,auto_vernworth_to_trevo_mine_008,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0062_auto_vernworth_to_trevo_mine_008_to_auto_vernworth_to_trevo_mine_009,auto_vernworth_to_trevo_mine_008,auto_vernworth_to_trevo_mine_009,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0063_auto_vernworth_to_trevo_mine_009_to_auto_vernworth_to_trevo_mine_010,auto_vernworth_to_trevo_mine_009,auto_vernworth_to_trevo_mine_010,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0064_auto_vernworth_to_trevo_mine_010_to_auto_vernworth_to_trevo_mine_011,auto_vernworth_to_trevo_mine_010,auto_vernworth_to_trevo_mine_011,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0065_auto_vernworth_to_trevo_mine_011_to_auto_vernworth_to_trevo_mine_012,auto_vernworth_to_trevo_mine_011,auto_vernworth_to_trevo_mine_012,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0066_auto_vernworth_to_trevo_mine_012_to_auto_vernworth_to_trevo_mine_013,auto_vernworth_to_trevo_mine_012,auto_vernworth_to_trevo_mine_013,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0067_auto_vernworth_to_trevo_mine_013_to_auto_vernworth_to_trevo_mine_014,auto_vernworth_to_trevo_mine_013,auto_vernworth_to_trevo_mine_014,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
auto_0068_auto_vernworth_to_trevo_mine_014_to_trevo_mine,auto_vernworth_to_trevo_mine_014,trevo_mine,1,1,auto_road,1,,Automatisch gegenereerde corridor route-edge.,auto_road_extraction
